RecordID,STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
55,114,Causeway St. @ North Station,BOSTON,35,4,1,42.365547,-71.061216
56,30203,Congress St opp Hanover St,BOSTON,35,4,2,42.361396,-71.05767
57,6547,Devonshire St @ State St,BOSTON,35,4,3,42.358585,-71.057257
58,16551,Congress St @ Franklin St,BOSTON,35,4,4,42.355534,-71.055548
59,221,Atlantic Ave. @ Congress St.,BOSTON,35,4,5,42.353837,-71.053236
60,21511,Sleeper St @ Seaport Blvd,BOSTON,35,4,6,42.353236,-71.048352
61,215,Northern Ave opp Federal Courthouse,BOSTON,35,4,7,42.353489,-71.047071
62,242,Seaport Blvd @ Seaport Hotel,BOSTON,35,4,8,42.349604,-71.040867
63,247,Northern Ave @ Harbor St,BOSTON,35,4,9,42.346678,-71.035244
64,30249,Northern Ave @ Tide St,BOSTON,35,4,10,42.345137,-71.031929
65,30249,Northern Ave @ Tide St,BOSTON,35,4,11,42.345137,-71.031929
66,30256,Dry Dock Ave @ Harbor St,BOSTON,35,4,12,42.344625,-71.03738
67,210,Summer St @ Dry Dock Ave,BOSTON,35,4,13,42.34435,-71.039039
68,212,Summer St @ D St,BOSTON,35,4,14,42.346358,-71.042237
69,890,Summer St @ WTC Ave,BOSTON,35,4,15,42.34738,-71.044134
70,891,Summer St opp Melcher St,BOSTON,35,4,16,42.350514,-71.050883
71,892,Summer St @ Dorchester Ave,BOSTON,35,4,17,42.3515,-71.052999
72,221,Atlantic Ave. @ Congress St.,BOSTON,35,4,18,42.353837,-71.053236
73,222,Atlantic Ave @ Seaport Blvd.,BOSTON,35,4,19,42.354908,-71.051224
74,223,Atlantic Ave @ Rowes Wharf,BOSTON,35,4,20,42.356274,-71.050803
75,30233,Atlantic Ave @ Milk St,BOSTON,35,4,21,42.35865,-71.051551
76,224,Atlantic Ave @ State St-Marriot Hotel,BOSTON,35,4,22,42.359544,-71.051796
77,225,Atlantic Ave @ Commercial Wharf,BOSTON,35,4,23,42.362174,-71.051101
78,226,Commercial St @ Fleet St,BOSTON,35,4,24,42.364076,-71.051081
79,230,Commercial St. @ Hanover St.,BOSTON,35,4,25,42.367136,-71.052381
80,231,Commercial St. opp. Hull St.,BOSTON,35,4,26,42.367812,-71.057304
81,114,Causeway St. @ North Station,BOSTON,35,4,27,42.365548,-71.061216
458,33,City Point Bus Terminal,BOSTON,35,9,1,42.3385,-71.031902
459,10033,E 1st St @ O St,BOSTON,35,9,2,42.338237,-71.029438
460,34,P St @ E 2nd St,BOSTON,35,9,3,42.337523,-71.027238
461,35,P St @ E Broadway,BOSTON,35,9,4,42.335827,-71.027187
462,895,E Broadway @ N St,BOSTON,35,9,5,42.335694,-71.031435
463,896,E Broadway @ M St,BOSTON,35,9,6,42.33567,-71.033181
464,41,E Broadway @ L St,BOSTON,35,9,7,42.335625,-71.035622
465,42,E Broadway @ K St,BOSTON,35,9,8,42.33559,-71.037311
466,43,E Broadway @ I St,BOSTON,35,9,9,42.335557,-71.03969
467,44,E Broadway @ H St,BOSTON,35,9,10,42.335527,-71.041745
468,45,E Broadway @ G St,BOSTON,35,9,11,42.335481,-71.044151
469,158,442 W Broadway,BOSTON,35,9,12,42.336159,-71.046769
470,159,W Broadway @ F St,BOSTON,35,9,13,42.3369,-71.047897
471,160,W Broadway @ E St,BOSTON,35,9,14,42.337895,-71.049436
472,161,W Broadway @ D St,BOSTON,35,9,15,42.338905,-71.051007
473,162,W Broadway @ C St,BOSTON,35,9,16,42.33993,-71.052592
474,163,W Broadway @ B St,BOSTON,35,9,17,42.340879,-71.054062
475,150,Broadway Station - Red Line,BOSTON,35,9,18,42.342652,-71.057078
476,36538,E Berkeley St @ Harrison Ave,BOSTON,35,9,19,42.343466,-71.064281
477,36541,E Berkeley St @ Washington St,BOSTON,35,9,20,42.343903,-71.0658
478,36539,E Berkeley @ Tremont St,BOSTON,35,9,21,42.345228,-71.069728
479,36540,Berkeley St @ Chandler St,BOSTON,35,9,22,42.346837,-71.070897
480,171,Berkeley St @ Columbus Ave,BOSTON,35,9,23,42.348548,-71.071747
481,173,Saint James Ave @ Clarendon St,BOSTON,35,9,24,42.349901,-71.074633
482,178,Saint James Ave @ Dartmouth St,BOSTON,35,9,25,42.349337,-71.076824
483,179,Ring Rd @ Huntington Ave,BOSTON,35,9,26,42.347577,-71.080012
484,174,Ring Rd @ Boylston St,BOSTON,35,9,27,42.348766,-71.080606
485,175,Boylston St @ Dartmouth St,BOSTON,35,9,28,42.350055,-71.077446
486,175,Boylston St @ Dartmouth St,BOSTON,35,9,29,42.350055,-71.077446
487,143,Boylston St @ Clarendon St,BOSTON,35,9,30,42.350646,-71.075321
488,144,Boylston St @ Berkeley St,BOSTON,35,9,31,42.351213,-71.073187
489,145,Arlington St @ Saint James Ave,BOSTON,35,9,32,42.351131,-71.070323
490,146,Arlington St @ Isabella St,BOSTON,35,9,33,42.348817,-71.069468
491,147,Herald St @ Tremont St,BOSTON,35,9,34,42.347429,-71.068414
492,148,Herald St @ Washington St,BOSTON,35,9,35,42.346631,-71.064696
493,11481,Herald St @ Harrison Ave,BOSTON,35,9,36,42.346363,-71.063339
494,151,W Broadway @ Broadway Station,BOSTON,35,9,37,42.342691,-71.056996
495,152,W Broadway @ A St,BOSTON,35,9,38,42.341723,-71.05536
496,153,W Broadway @ B St,BOSTON,35,9,39,42.340671,-71.053736
497,11532,W Broadway @ Linsky Barry Ct,BOSTON,35,9,40,42.339709,-71.052242
498,155,W Broadway @ E St,BOSTON,35,9,41,42.337689,-71.049118
499,156,W Broadway @ F St,BOSTON,35,9,42,42.3367,-71.047589
500,157,W Broadway @ Dorchester St,BOSTON,35,9,43,42.335518,-71.045795
501,21,E Broadway @ G St,BOSTON,35,9,44,42.335476,-71.044403
502,22,E Broadway @ H St,BOSTON,35,9,45,42.335527,-71.041745
503,23,E Broadway @ I St,BOSTON,35,9,46,42.335552,-71.040123
504,24,E Broadway @ K St,BOSTON,35,9,47,42.335586,-71.037554
505,25,E Broadway @ L St,BOSTON,35,9,48,42.335625,-71.035622
506,26,E Broadway @ M St,BOSTON,35,9,49,42.33567,-71.033181
507,27,E Broadway @ N St,BOSTON,35,9,50,42.335699,-71.031091
508,28,E Broadway @ O St,BOSTON,35,9,51,42.335732,-71.029038
509,29,E Broadway @ P St,BOSTON,35,9,52,42.335761,-71.027308
510,30,E Broadway @ Farragut Rd,BOSTON,35,9,53,42.335799,-71.025195
511,32,Farragut Rd opp E 2nd St,BOSTON,35,9,54,42.337619,-71.025115
512,10031,E 1st St @ P St,BOSTON,35,9,55,42.338277,-71.027126
513,10032,E 1st St opp O St,BOSTON,35,9,56,42.33824,-71.0292
514,33,City Point Bus Terminal,BOSTON,35,9,57,42.338501,-71.031902
16336,4807,7 Franklin St @ Fire House,MARBLEHEAD,168,448,1,42.507672,-70.845329
16337,4832,Franklin St opp Fire House,MARBLEHEAD,168,448,2,42.507698,-70.845406
16338,4834,Washington St @ Pearl St,MARBLEHEAD,168,448,3,42.506303,-70.848238
16339,4835,Washington St @ State St,MARBLEHEAD,168,448,4,42.505521,-70.849218
16340,4836,27 Mugford St,MARBLEHEAD,168,448,5,42.505553,-70.850373
16341,14836,Elm St @ Mugford St,MARBLEHEAD,168,448,6,42.506232,-70.851976
16342,4837,Elm St @ Harris St,MARBLEHEAD,168,448,7,42.505704,-70.852791
16343,4838,Elm St @ Creesy St,MARBLEHEAD,168,448,8,42.505048,-70.854963
16344,4839,Pleasant St @ Spring St,MARBLEHEAD,168,448,9,42.5028,-70.85557
16345,4840,Pleasant St @ Anderson St,MARBLEHEAD,168,448,10,42.501182,-70.857562
16346,4841,Pleasant St @ Bessom St,MARBLEHEAD,168,448,11,42.500164,-70.858833
16347,4843,Pleasant St opp Gerry St,MARBLEHEAD,168,448,12,42.497557,-70.860948
16348,4844,Pleasant St @ Maverick St,MARBLEHEAD,168,448,13,42.496226,-70.86264
16349,4845,Pleasant St @ Devereux Terr,MARBLEHEAD,168,448,14,42.495202,-70.864596
